GeneID	SRR12438069	SRR12438070	SRR12438071	SRR12438072	SRR12438073	SRR12438074	SRR12438075	SRR12438076	SRR12438077	SRR12438078	SRR12438079	SRR12438080
ENSG00000278073	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000169972	39	61	135	154	162	109	72	149	128	10	407	350
ENSG00000127054	485	535	1976	2281	2205	2107	1023	1493	2165	250	5319	9006
ENSG00000283712	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000240731	19	21	97	92	159	136	54	72	117	0	201	542
ENSG00000224051	154	178	470	530	333	279	111	208	518	100	1777	1556
ENSG00000169962	2	5	10	24	20	30	9	11	25	0	67	100
ENSG00000107404	465	619	1650	1817	1700	1782	595	1200	1645	194	5836	4800
ENSG00000284372	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000162576	81	84	510	564	534	317	334	301	547	11	410	73
ENSG00000175756	328	413	797	998	1060	840	448	726	1039	139	3177	1780
ENSG00000223663	0	0	0	1	0	1	0	1	0	0	2	1
ENSG00000221978	897	992	5418	5266	4453	4498	2111	2495	5417	604	12282	20628
ENSG00000224870	116	119	361	385	400	393	178	278	311	30	1130	725
ENSG00000242485	187	203	713	727	823	1102	320	629	595	79	1893	1557
ENSG00000264293	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000272455	7	8	66	45	66	43	29	31	58	5	116	196
ENSG00000235098	200	171	749	727	1257	805	344	599	563	51	2025	158
ENSG00000225905	0	2	7	12	5	5	2	3	5	0	6	0
ENSG00000205116	0	1	3	2	0	1	0	0	2	0	2	1
ENSG00000225285	14	19	68	62	28	36	9	31	43	3	105	62
ENSG00000179403	1445	1324	5067	6272	3753	3562	1241	2548	3643	341	16890	2328
ENSG00000215915	102	125	420	532	767	522	166	218	564	50	836	389
ENSG00000160072	141	215	583	687	680	571	199	357	754	42	1634	2227
ENSG00000284740	2	0	15	8	22	18	9	15	14	0	24	68
ENSG00000197785	118	162	334	400	340	338	124	243	307	31	1318	1503
ENSG00000205090	3	7	27	25	51	33	14	18	22	0	44	82
ENSG00000160075	505	586	1976	2033	2621	3070	967	1798	1731	384	5490	3982
ENSG00000215014	6	2	10	9	9	9	4	9	15	0	40	14
ENSG00000274481	0	0	0	0	0	2	0	0	0	0	1	0
ENSG00000228594	36	25	85	90	185	95	57	91	126	21	292	52
ENSG00000272106	47	58	215	210	228	182	153	189	130	10	423	168
ENSG00000197530	331	408	1618	1871	1987	1339	694	1075	1561	141	4185	6111
ENSG00000189409	0	0	2	0	0	1	1	0	0	0	2	0
ENSG00000248333	147	149	739	721	691	882	272	413	541	68	2231	1976
ENSG00000272004	0	0	0	0	0	1	0	0	0	0	2	0
ENSG00000189339	318	356	2342	2297	1688	1960	997	1223	1181	162	6041	5053
ENSG00000269737	9	7	143	156	65	63	47	42	83	4	81	240
ENSG00000215914	0	1	3	4	1	3	0	2	2	0	5	8
ENSG00000008128	13	13	39	57	67	45	37	51	85	2	68	120
ENSG00000268575	3	0	80	61	57	44	28	15	76	5	98	87
ENSG00000227775	32	32	258	252	180	206	113	98	337	18	295	395
ENSG00000215790	6	6	64	67	119	62	53	43	80	9	422	174
ENSG00000008130	289	270	1059	1171	1065	1304	443	733	1082	135	3852	2537
ENSG00000078369	2198	2135	10796	11403	11493	15481	4415	8316	8079	1411	26775	21367
ENSG00000231050	1	3	10	6	7	7	0	3	4	0	19	11
ENSG00000169885	3	6	15	9	10	5	8	8	41	0	15	31
ENSG00000178821	59	71	73	57	13	6	11	6	54	20	411	110
ENSG00000142609	1	0	5	2	1	14	4	1	2	0	0	3
ENSG00000233542	0	0	0	0	0	0	0	0	1	0	3	0
ENSG00000187730	0	0	0	2	1	2	1	0	1	0	3	2
ENSG00000226969	0	0	0	1	1	0	0	2	1	0	0	0
ENSG00000067606	95	86	321	323	396	423	152	201	307	29	1124	1689
ENSG00000271806	1	4	2	2	3	6	2	4	5	0	2	21
ENSG00000182873	6	9	75	96	136	116	38	46	67	0	119	325
ENSG00000162585	195	266	525	669	1171	919	358	625	666	84	1908	1159
ENSG00000234396	0	1	1	1	1	2	0	1	1	0	1	0
ENSG00000157933	272	320	1444	1518	2457	1705	699	1129	1326	156	3676	2693
ENSG00000116151	43	46	300	332	211	289	134	172	256	24	624	494
ENSG00000272161	0	0	3	3	4	6	0	2	1	0	6	6
ENSG00000269896	18	11	75	96	70	57	37	36	98	9	151	205
ENSG00000272420	0	4	6	5	9	16	5	4	5	0	8	60
ENSG00000157916	379	418	1967	2091	1680	1830	661	1137	1796	286	4923	6224
ENSG00000157911	102	105	306	328	305	279	125	219	263	32	975	702
ENSG00000149527	289	257	1218	1083	3429	1850	799	985	974	23	3474	279
ENSG00000224387	2	2	10	8	37	20	16	7	14	0	97	1
ENSG00000229393	1	1	26	12	53	36	15	19	25	0	107	4
ENSG00000157881	119	110	651	689	677	689	283	462	616	65	1704	1287
ENSG00000197921	0	1	1	1	1	1	0	0	1	0	4	8
ENSG00000272449	2	9	31	24	33	12	8	19	29	3	59	68
ENSG00000238164	106	90	470	414	311	350	99	131	404	62	779	909
ENSG00000157873	368	503	1627	1752	2845	1714	469	726	1602	148	3284	3830
ENSG00000225931	0	1	4	1	20	10	2	6	25	2	20	38
ENSG00000228037	2	2	5	9	15	8	1	5	26	0	19	41
ENSG00000157870	147	110	585	564	606	626	239	306	724	115	2231	1221
ENSG00000142606	2	0	22	16	10	19	8	6	35	9	112	92
ENSG00000237058	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000215912	3	9	35	36	17	19	23	20	52	3	80	35
ENSG00000283259	0	1	2	1	1	0	1	1	1	0	1	18
ENSG00000233234	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000231630	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284745	0	0	0	0	0	0	0	0	1	0	0	0
ENSG00000169717	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000177133	129	103	698	702	342	192	103	76	685	60	1233	1058
ENSG00000142611	255	237	1391	1259	487	620	237	243	1091	159	2778	2827
ENSG00000283572	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000226286	0	0	3	2	0	0	1	0	2	0	2	0
ENSG00000279839	0	0	0	1	1	0	0	0	1	0	2	12
ENSG00000272235	0	0	8	6	7	9	2	2	7	0	8	42
ENSG00000130762	194	216	944	1064	887	746	389	575	1259	108	3180	3457
ENSG00000272088	2	0	2	0	1	6	6	3	2	0	2	23
ENSG00000162591	43	79	450	413	192	183	74	77	729	37	1710	2775
ENSG00000207776	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000238260	0	2	21	4	17	15	8	6	17	0	20	48
ENSG00000158109	404	374	1688	1582	2756	2480	867	1504	1445	179	5247	4344
ENSG00000116213	118	115	583	617	541	433	237	320	541	60	1236	1141
ENSG00000078900	0	6	8	10	14	17	2	1	11	2	45	23
ENSG00000227589	3	0	3	2	4	2	1	0	0	0	9	9
ENSG00000235131	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000227372	190	191	1068	1020	1157	1210	379	533	860	44	2353	2022
ENSG00000276189	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000162592	0	0	3	4	0	1	1	1	2	0	16	7
ENSG00000235169	20	17	48	77	88	48	18	49	52	5	224	135
ENSG00000130764	289	301	1080	1094	908	1130	434	685	827	85	3038	3042
ENSG00000266075	0	1	6	2	6	6	4	3	4	4	9	8
ENSG00000272153	4	2	22	20	27	18	15	20	31	1	41	98
ENSG00000116198	278	217	1214	1282	1307	1584	524	882	890	222	3400	3346
ENSG00000169598	24	26	140	153	213	165	87	109	122	15	396	306
ENSG00000198912	125	82	535	573	402	462	187	293	406	111	1397	1538
ENSG00000236423	4	5	28	34	32	30	32	29	28	0	81	87
ENSG00000233304	0	0	0	1	5	2	0	0	1	0	1	0
ENSG00000226374	0	0	0	0	1	1	0	1	0	0	1	0
ENSG00000284668	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284703	0	0	0	0	1	4	0	1	0	0	0	1
ENSG00000229280	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000235054	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000284694	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000227169	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232596	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000196581	19	22	76	73	26	71	12	41	49	13	568	99
ENSG00000284739	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284674	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000231510	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000284616	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284692	0	0	0	1	0	3	0	0	0	0	2	0
ENSG00000284666	0	0	0	1	0	0	0	0	1	0	1	0
ENSG00000260972	0	0	1	0	0	1	0	0	0	0	0	0
ENSG00000283356	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000236948	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000264341	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000264101	0	0	0	2	0	0	2	3	1	0	1	0
ENSG00000131697	116	178	610	922	632	758	414	1027	489	48	1457	1178
ENSG00000069424	62	82	194	179	525	422	128	254	187	23	340	69
ENSG00000116254	52	103	290	528	605	780	387	814	226	16	359	106
ENSG00000116251	961	796	2027	1800	3050	2537	921	1355	1787	443	13894	11091
ENSG00000226944	4	4	12	11	14	6	3	6	7	0	32	5
ENSG00000158286	107	104	548	674	332	357	206	202	689	73	1185	1321
ENSG00000116237	491	412	2100	1964	2428	2266	1014	1350	1747	263	6238	1525
ENSG00000225077	0	0	2	2	3	4	1	2	4	0	4	4
ENSG00000173673	0	0	0	0	0	0	0	0	0	0	0	2
ENSG00000158292	15	16	72	111	151	130	50	97	87	17	186	176
ENSG00000097021	33	31	262	241	198	213	73	143	189	12	581	76
ENSG00000271746	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000069812	5	1	23	4	34	17	3	5	46	5	113	17
ENSG00000187017	18	11	145	72	55	33	22	4	116	30	583	97
ENSG00000265392	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000231868	0	0	1	1	0	0	1	0	2	0	9	3
ENSG00000215788	17	20	131	142	131	98	85	77	168	10	178	469
ENSG00000171680	72	76	358	366	328	287	181	226	393	34	638	897
ENSG00000162408	135	134	575	576	851	657	322	405	449	71	936	1058
ENSG00000253022	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229519	1	1	3	2	4	3	3	4	3	5	1	2
ENSG00000173662	1	2	7	0	5	4	0	2	5	0	2	2
ENSG00000204859	84	127	478	583	581	558	385	485	475	57	1133	1366
ENSG00000162413	219	272	1197	1181	1380	994	476	768	1196	61	3338	5672
ENSG00000116273	102	109	667	632	633	788	213	379	534	65	1929	2453
ENSG00000041988	47	58	226	239	340	266	101	130	238	28	914	899
ENSG00000007923	238	176	895	889	836	1099	328	472	697	184	2022	1127
ENSG00000228750	1	0	1	0	0	1	1	0	0	0	0	0
ENSG00000284744	0	0	0	1	1	3	0	0	0	0	0	0
ENSG00000237436	1	0	6	1	6	3	1	1	3	0	6	22
ENSG00000171735	180	162	703	796	864	1052	291	570	686	168	2255	2942
ENSG00000227950	0	0	1	1	1	0	0	0	0	0	0	0
ENSG00000237365	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000207056	0	0	0	0	0	1	0	0	0	0	1	0
