SRR_accession	QC_summary	SRX_accession	SRS_accession	SRP_accession	Experiment_title	GEO_series	sample_alias	study_accession	experiment_accession	experiment_title	sample_taxon_id	sample_scientific_name	experiment_library_strategy	experiment_library_source	experiment_library_selection	sample_accession	experiment_instrument_model	pool_member_spots	run_1_size	run_1_total_spots	run_1_total_bases
SRR1105566	WARN(1,5,7)	SRX424352	SRS528028	SRP035268	GSM1303926: islet preparation 1 under control condition; Homo sapiens; RNA-Seq	GSE53949	GSM1303926	SRP035268	SRX424352	GSM1303926: islet preparation 1 under control condition; Homo sapiens; RNA-Seq	9606	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	SRS528028	Illumina Genome Analyzer II	6785237	465426062	6785237	692094174
SRR1105567	WARN(1,5,7)	SRX424353	SRS528029	SRP035268	GSM1303927: islet preparation 1 under palmitate exposure; Homo sapiens; RNA-Seq	GSE53949	GSM1303927	SRP035268	SRX424353	GSM1303927: islet preparation 1 under palmitate exposure; Homo sapiens; RNA-Seq	9606	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	SRS528029	Illumina Genome Analyzer II	6300019	430518317	6300019	642601938
SRR1105568	PASS	SRX424354	SRS528031	SRP035268	GSM1303928: islet preparation 2 under control condition; Homo sapiens; RNA-Seq	GSE53949	GSM1303928	SRP035268	SRX424354	GSM1303928: islet preparation 2 under control condition; Homo sapiens; RNA-Seq	9606	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	SRS528031	Illumina Genome Analyzer II	29665483	1235411344	29665483	3025879266
SRR1105569	PASS	SRX424355	SRS528030	SRP035268	GSM1303929: islet preparation 2 under palmitate exposure; Homo sapiens; RNA-Seq	GSE53949	GSM1303929	SRP035268	SRX424355	GSM1303929: islet preparation 2 under palmitate exposure; Homo sapiens; RNA-Seq	9606	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	SRS528030	Illumina Genome Analyzer II	29556299	1244381354	29556299	3014742498
SRR1105570	PASS	SRX424356	SRS528033	SRP035268	GSM1303930: islet preparation 3 under control condition; Homo sapiens; RNA-Seq	GSE53949	GSM1303930	SRP035268	SRX424356	GSM1303930: islet preparation 3 under control condition; Homo sapiens; RNA-Seq	9606	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	SRS528033	Illumina Genome Analyzer II	28702757	1171346298	28702757	2927681214
SRR1105571	PASS	SRX424357	SRS528032	SRP035268	GSM1303931: islet preparation 3 under palmitate exposure; Homo sapiens; RNA-Seq	GSE53949	GSM1303931	SRP035268	SRX424357	GSM1303931: islet preparation 3 under palmitate exposure; Homo sapiens; RNA-Seq	9606	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	SRS528032	Illumina Genome Analyzer II	33066401	1342858724	33066401	3372772902
SRR1105572	WARN(5,7)	SRX424358	SRS528035	SRP035268	GSM1303932: islet preparation 4 under control condition; Homo sapiens; RNA-Seq	GSE53949	GSM1303932	SRP035268	SRX424358	GSM1303932: islet preparation 4 under control condition; Homo sapiens; RNA-Seq	9606	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	SRS528035	Illumina Genome Analyzer II	11538404	792540365	11538404	1176917208
SRR1105573	PASS	SRX424359	SRS528034	SRP035268	GSM1303933: islet preparation 4 under palmitate exposure; Homo sapiens; RNA-Seq	GSE53949	GSM1303933	SRP035268	SRX424359	GSM1303933: islet preparation 4 under palmitate exposure; Homo sapiens; RNA-Seq	9606	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	SRS528034	Illumina Genome Analyzer II	18603348	1320901944	18603348	1897541496
SRR1105574	PASS	SRX424360	SRS528036	SRP035268	GSM1303934: islet preparation 5 under control condition; Homo sapiens; RNA-Seq	GSE53949	GSM1303934	SRP035268	SRX424360	GSM1303934: islet preparation 5 under control condition; Homo sapiens; RNA-Seq	9606	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	SRS528036	Illumina Genome Analyzer II	25717722	1206956917	25717722	2623207644
SRR1105575	WARN(1,5,7)	SRX424361	SRS528037	SRP035268	GSM1303935: islet preparation 5 under palmitate exposure; Homo sapiens; RNA-Seq	GSE53949	GSM1303935	SRP035268	SRX424361	GSM1303935: islet preparation 5 under palmitate exposure; Homo sapiens; RNA-Seq	9606	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	SRS528037	Illumina Genome Analyzer II	4380242	290183147	4380242	446784684
