SRR_accession	QC_summary	SRX_accession	SRS_accession	SRP_accession	Experiment_title	GEO_series
SRR1105566	WARN(1,5,7)	SRX424352	SRS528028	SRP035268	GSM1303926: islet preparation 1 under control condition; Homo sapiens; RNA-Seq	GSE53949
SRR1105567	WARN(1,5,7)	SRX424353	SRS528029	SRP035268	GSM1303927: islet preparation 1 under palmitate exposure; Homo sapiens; RNA-Seq	GSE53949
SRR1105568	PASS	SRX424354	SRS528031	SRP035268	GSM1303928: islet preparation 2 under control condition; Homo sapiens; RNA-Seq	GSE53949
SRR1105569	PASS	SRX424355	SRS528030	SRP035268	GSM1303929: islet preparation 2 under palmitate exposure; Homo sapiens; RNA-Seq	GSE53949
SRR1105570	PASS	SRX424356	SRS528033	SRP035268	GSM1303930: islet preparation 3 under control condition; Homo sapiens; RNA-Seq	GSE53949
SRR1105571	PASS	SRX424357	SRS528032	SRP035268	GSM1303931: islet preparation 3 under palmitate exposure; Homo sapiens; RNA-Seq	GSE53949
SRR1105572	WARN(5,7)	SRX424358	SRS528035	SRP035268	GSM1303932: islet preparation 4 under control condition; Homo sapiens; RNA-Seq	GSE53949
SRR1105573	PASS	SRX424359	SRS528034	SRP035268	GSM1303933: islet preparation 4 under palmitate exposure; Homo sapiens; RNA-Seq	GSE53949
SRR1105574	PASS	SRX424360	SRS528036	SRP035268	GSM1303934: islet preparation 5 under control condition; Homo sapiens; RNA-Seq	GSE53949
SRR1105575	WARN(1,5,7)	SRX424361	SRS528037	SRP035268	GSM1303935: islet preparation 5 under palmitate exposure; Homo sapiens; RNA-Seq	GSE53949
