name	lig_cov	poc_cov	lig_name	volume	enclosure	surface	depth	surf/vol	lid/hull	ellVol	ell c/a	ell b/a	siteAtms	accept	donor	hydrophobic_interactions	hydrophobicity	metal	Cs	Ns	Os	Ss	Xs	negAA	posAA	polarAA	apolarAA	ALA	ARG	ASN	ASP	CYS	GLN	GLU	GLY	HIS	ILE	LEU	LYS	MET	PHE	PRO	SER	THR	TRP	TYR	VAL	simpleScore	drugScore
P_0	0.00	0.00	""	958.98	0.08	1158.68	29.16	1.2082420905545477	-	-	0.04	0.10	221	  59	  29	  71	0.45	   0	 151	  31	  38	   1	   0	0.18	0.12	0.33	0.37	   4	   2	   1	   5	   0	   2	   4	   5	   1	   3	   2	   3	   1	   2	   1	   3	   2	   0	   3	   5	0.64	0.820733
P_0_0	0.00	0.00	""	480.70	0.12	672.70	17.89	1.3994175161223217	-	-	0.10	0.15	117	  34	  18	  37	0.42	   0	  79	  18	  20	   0	   0	0.19	0.10	0.32	0.39	   4	   0	   1	   4	   0	   0	   2	   4	   0	   2	   2	   3	   0	   1	   1	   2	   2	   0	   1	   2	0.49	0.391798
P_0_1	0.00	0.00	""	478.27	0.04	597.63	16.62	1.2495661446463295	-	-	0.21	0.34	116	  27	  14	  39	0.49	   0	  80	  16	  19	   1	   0	0.16	0.16	0.36	0.32	   2	   2	   0	   1	   0	   2	   3	   3	   1	   1	   0	   1	   1	   1	   0	   1	   1	   0	   2	   3	0.51	0.528854
P_1	0.00	0.00	""	224.06	0.18	383.22	12.41	1.7103454431848613	-	-	0.26	0.42	64	  23	   5	  13	0.32	   0	  43	   9	  11	   1	   0	0.18	0.24	0.18	0.41	   0	   1	   0	   1	   0	   0	   2	   1	   1	   3	   0	   2	   1	   0	   2	   1	   0	   0	   1	   1	0.03	0.483508
P_2	0.00	0.00	""	143.74	0.00	248.90	15.13	1.7315987199109502	-	-	0.09	0.16	92	  15	   6	  11	0.34	   0	  70	  10	  10	   2	   0	0.05	0.10	0.24	0.62	   2	   1	   0	   1	   1	   0	   0	   1	   1	   3	   2	   0	   1	   1	   0	   1	   0	   0	   2	   4	0.00	0.539609
P_2_0	0.00	0.00	""	90.69	0.00	129.73	8.95	1.4304774506560811	-	-	0.34	0.46	52	   5	   3	   5	0.38	   0	  40	   6	   4	   2	   0	0.00	0.15	0.23	0.62	   1	   1	   0	   0	   1	   0	   0	   0	   1	   3	   2	   0	   1	   0	   0	   0	   0	   0	   2	   1	0.01	0.571713
P_2_1	0.00	0.00	""	53.06	0.00	138.50	8.20	2.6102525442894833	-	-	0.15	0.30	48	  14	   3	   6	0.26	   0	  36	   4	   7	   1	   0	0.09	0.00	0.36	0.55	   1	   0	   0	   1	   1	   0	   0	   1	   0	   1	   0	   0	   0	   1	   0	   1	   0	   0	   1	   3	0.00	0.240378
P_3	0.00	0.00	""	108.74	0.15	257.82	6.73	2.370976641530256	-	-	0.16	0.20	34	  12	   4	  11	0.41	   0	  25	   2	   7	   0	   0	0.20	0.30	0.20	0.30	   0	   0	   0	   1	   0	   0	   1	   1	   1	   1	   0	   2	   0	   0	   1	   1	   0	   0	   0	   1	0.00	0.166655
