protein1 protein2 combined_score
9606.ENSP00000005226 9606.ENSP00000363068 992
9606.ENSP00000005226 9606.ENSP00000354623 950
9606.ENSP00000005226 9606.ENSP00000252597 926
9606.ENSP00000005226 9606.ENSP00000329158 909
9606.ENSP00000005226 9606.ENSP00000480489 915
9606.ENSP00000005226 9606.ENSP00000224721 999
9606.ENSP00000005226 9606.ENSP00000380676 909
9606.ENSP00000005226 9606.ENSP00000480279 999
9606.ENSP00000005226 9606.ENSP00000308772 995
9606.ENSP00000005257 9606.ENSP00000394560 925
9606.ENSP00000005257 9606.ENSP00000484855 960
9606.ENSP00000005257 9606.ENSP00000400175 930
9606.ENSP00000005257 9606.ENSP00000342793 984
9606.ENSP00000005257 9606.ENSP00000355605 999
9606.ENSP00000005257 9606.ENSP00000274376 988
9606.ENSP00000005257 9606.ENSP00000372924 999
9606.ENSP00000005257 9606.ENSP00000378974 926
9606.ENSP00000005257 9606.ENSP00000249071 932
9606.ENSP00000005257 9606.ENSP00000272519 938
9606.ENSP00000005257 9606.ENSP00000304283 913
9606.ENSP00000005257 9606.ENSP00000420211 981
9606.ENSP00000005257 9606.ENSP00000370695 929
9606.ENSP00000005257 9606.ENSP00000253861 988
9606.ENSP00000005257 9606.ENSP00000361120 999
9606.ENSP00000005257 9606.ENSP00000230449 999
9606.ENSP00000005257 9606.ENSP00000263088 974
9606.ENSP00000005257 9606.ENSP00000303192 989
9606.ENSP00000005257 9606.ENSP00000358866 930
9606.ENSP00000005260 9606.ENSP00000223023 936
9606.ENSP00000005284 9606.ENSP00000375647 939
9606.ENSP00000005284 9606.ENSP00000349320 978
9606.ENSP00000005284 9606.ENSP00000365441 927
9606.ENSP00000005284 9606.ENSP00000355192 916
9606.ENSP00000005284 9606.ENSP00000226021 974
9606.ENSP00000005284 9606.ENSP00000288139 957
9606.ENSP00000005284 9606.ENSP00000266376 910
9606.ENSP00000005284 9606.ENSP00000438949 958
9606.ENSP00000005284 9606.ENSP00000270458 913
9606.ENSP00000005284 9606.ENSP00000262138 905
9606.ENSP00000005284 9606.ENSP00000372169 915
9606.ENSP00000005284 9606.ENSP00000377840 912
9606.ENSP00000005284 9606.ENSP00000296526 923
9606.ENSP00000005284 9606.ENSP00000252729 908
9606.ENSP00000005284 9606.ENSP00000301050 938
9606.ENSP00000005340 9606.ENSP00000378248 915
9606.ENSP00000005340 9606.ENSP00000286548 911
9606.ENSP00000005340 9606.ENSP00000360060 921
9606.ENSP00000005340 9606.ENSP00000263388 930
9606.ENSP00000005340 9606.ENSP00000284523 916
9606.ENSP00000005340 9606.ENSP00000347672 994
9606.ENSP00000005340 9606.ENSP00000316054 990
9606.ENSP00000005340 9606.ENSP00000337439 992
9606.ENSP00000005340 9606.ENSP00000354607 964
9606.ENSP00000005340 9606.ENSP00000360058 904
9606.ENSP00000005340 9606.ENSP00000473553 906
9606.ENSP00000005340 9606.ENSP00000495360 930
9606.ENSP00000005340 9606.ENSP00000368166 991
9606.ENSP00000005340 9606.ENSP00000302625 969
9606.ENSP00000005340 9606.ENSP00000498587 931
9606.ENSP00000005340 9606.ENSP00000296849 957
9606.ENSP00000005340 9606.ENSP00000345064 979
9606.ENSP00000005340 9606.ENSP00000419465 942
9606.ENSP00000005340 9606.ENSP00000403701 981
9606.ENSP00000005340 9606.ENSP00000365042 940
